id,x(m),y(m),area_code
P280,92493.801,100344.310,2
P281,92498.810,100337.050,3
P282,92496.419,100334.073,3
P283,92492.657,100338.134,7
P284,92487.886,100339.764,3
P285,92495.629,100337.116,6
P286,92496.741,100327.878,2
P287,92494.546,100324.820,1
P288,92494.399,100331.078,2
P289,92490.620,100335.116,1
P290,92492.044,100333.002,1
P291,92493.197,100323.774,4
P292,92501.046,100323.811,3
P293,92502.437,100324.037,1
P294,92504.235,100323.425,1
P295,92509.745,100316.637,7
P296,92509.056,100307.165,1
P297,92507.732,100313.081,7
P298,92512.487,100318.255,1
P299,92520.274,100315.832,2
P300,92528.191,100314.840,3
P301,92528.026,100311.651,2
P302,92529.145,100309.174,3
P303,92529.172,100306.041,3
P304,92526.259,100311.002,1
P305,92533.590,100312.973,1
P306,92533.726,100319.277,2
P307,92528.918,100320.509,3
P308,92524.222,100320.433,3
P309,92520.016,100319.113,4
P310,92515.975,100322.767,2
P311,92513.999,100319.634,3
P312,92509.603,100322.607,2
P313,92517.425,100320.387,3
P314,92524.340,100315.498,3
P315,92523.365,100312.210,2
P316,92524.294,100318.570,3
P317,92526.113,100317.656,2
P318,92527.016,100308.372,3
P319,92534.778,100305.814,2
P320,92542.191,100302.021,1
P321,92549.321,100304.434,2
P322,92556.820,100305.964,2
P323,92564.595,100306.456,1
P324,92570.899,100310.178,6
P325,92566.108,100310.681,2
P326,92570.015,100316.352,3
P327,92567.611,100313.381,3
P328,92574.259,100308.035,3
P329,92577.431,100314.017,1
P330,92579.086,100312.324,3
P331,92584.291,100305.239,2
P332,92586.117,100311.545,2
P333,92584.825,100317.475,2
P334,92588.247,100323.362,6
P335,92589.481,100323.724,3
P336,92585.210,100322.520,5
P337,92582.635,100327.746,2
P338,92578.436,100331.125,3
P339,92583.343,100323.776,1
P340,92581.629,100314.326,1
P341,92578.765,100319.328,3
P342,92577.584,100316.046,6
P343,92584.176,100319.377,2
P344,92584.959,100316.622,2
P345,92585.941,100314.020,2
P346,92588.696,100320.135,2
P347,92592.483,100325.863,3
P348,92594.245,100324.492,6
P349,92589.642,100326.898,2
P350,92591.618,100317.904,3
P351,92597.279,100322.337,2
P352,92595.740,100328.162,3
P353,92591.391,100331.241,2
P354,92586.661,100333.126,2
P355,92582.021,100332.831,7
P356,92583.992,100339.117,2
P357,92583.441,100329.650,2
P358,92581.860,100335.456,3
P359,92581.406,100341.649,1
P360,92582.667,100339.324,1
P361,92584.582,100345.618,3
P362,92583.428,100342.335,2
P363,92588.854,100346.984,2
P364,92595.956,100342.458,3
P365,92594.525,100332.991,3
P366,92597.900,100324.601,3
P367,92599.713,100323.858,2
P368,92600.935,100330.214,1
P369,92598.515,100327.251,1
P370,92599.342,100324.526,3
P371,92601.080,100324.166,1
P372,92606.142,100329.115,3
P373,92601.381,100330.818,3
P374,92603.895,100322.024,5
P375,92600.176,100326.141,2
P376,92601.464,100326.462,7
P377,92597.672,100324.552,3
P378,92599.172,100324.653,3
P379,92606.830,100325.655,3
P380,92608.628,100324.465,3
P381,92610.435,100323.780,3
P382,92612.130,100323.538,3
P383,92607.860,100326.781,3
P384,92610.280,100317.949,2
P385,92609.674,100314.680,2
P386,92607.978,100311.473,2
P387,92609.703,100309.970,2
P388,92616.837,100312.376,7
P389,92612.789,100310.804,3
P390,92614.157,100308.613,1
P391,92610.088,100312.220,6
P392,92606.587,100309.998,3
P393,92610.120,100315.840,6
P394,92616.026,100309.484,7
P395,92623.346,100305.451,1
P396,92619.984,100303.100,7
P397,92615.299,100294.360,5
P398,92617.118,100293.411,5
P399,92612.750,100292.397,2
P400,92609.380,100296.923,6
P401,92613.475,100302.497,1
P402,92621.235,100299.930,6
P403,92625.638,100292.187,2
P404,92627.262,100290.424,3
P405,92627.210,100287.266,1
P406,92623.772,100291.720,4
P407,92623.889,100288.618,3
P408,92625.033,100294.977,7
P409,92632.511,100291.367,2
P410,92639.666,100286.955,2
P411,92635.148,100286.293,1
P412,92633.049,100291.829,5
P413,92632.209,100288.543,2
P414,92633.700,100286.532,3
P415,92632.013,100292.288,3
P416,92639.049,100294.885,3
P417,92640.761,100294.601,1
P418,92642.468,100294.330,2
P419,92642.627,100300.637,2
P420,92650.279,100297.601,2
P421,92651.332,100298.070,2
P422,92653.024,100296.472,2
P423,92648.288,100298.322,1
P424,92650.008,100296.805,1
P425,92650.147,100287.396,3
P426,92654.708,100292.697,3
P427,92661.651,100287.857,1
P428,92665.253,100279.595,3
P429,92662.984,100270.203,2
P430,92659.659,100267.820,2
P431,92660.207,100264.916,2
P432,92664.484,100270.389,3
P433,92671.652,100272.726,6
P434,92674.474,100264.064,2
P435,92673.840,100260.792,2
P436,92672.455,100266.684,1
P437,92673.812,100266.943,1
P438,92669.857,100265.241,1
P439,92670.980,100262.769,2
P440,92671.914,100260.127,1
P441,92667.992,100258.380,3
P442,92669.753,100257.940,3
P443,92670.176,100254.969,3
P444,92666.214,100245.963,3
P445,92673.717,100242.427,4
P446,92674.665,100242.938,6
P447,92671.088,100233.815,4
P448,92672.034,100234.327,1
P449,92672.715,100231.503,3
P450,92679.596,100226.551,2
P451,92681.852,100217.656,1
P452,92678.990,100222.659,4
P453,92680.797,100221.539,6
P454,92686.652,100225.776,6
P455,92688.093,100225.949,1
P456,92689.488,100216.781,2
P457,92690.679,100214.379,2
P458,92691.776,100214.826,3
P459,92692.882,100215.268,3
P460,92694.289,100213.131,3
P461,92696.138,100204.095,3
P462,92697.831,100202.497,7
P463,92693.234,100202.059,5
P464,92690.814,100207.393,3
P465,92686.158,100209.609,3
P466,92690.976,100214.739,3
P467,92691.248,100211.699,3
P468,92687.855,100209.376,6
P469,92687.311,100215.547,6
P470,92688.736,100221.893,5
P471,92683.975,100222.159,2
P472,92682.444,100218.919,3
P473,92684.101,100225.245,3
P474,92681.840,100215.853,2
P475,92689.276,100217.555,2
P476,92684.976,100220.736,1
P477,92680.716,100223.999,2
P478,92681.628,100221.340,1
P479,92683.329,100221.082,2
P480,92686.636,100212.657,5
P481,92685.597,100209.370,6
P482,92684.444,100199.894,3
P483,92690.825,100194.148,1
P484,92692.565,100192.696,1
P485,92691.071,100189.450,1
P486,92686.755,100192.599,1
P487,92694.172,100194.356,2
P488,92689.973,100197.737,1
P489,92689.633,100203.956,1
P490,92691.192,100202.063,1
P491,92692.956,100201.612,5
P492,92700.873,100200.545,2
P493,92700.119,100197.263,6
P494,92701.153,100197.740,2
P495,92702.011,100195.038,3
P496,92703.497,100195.158,3
P497,92699.031,100197.963,1
P498,92704.230,100202.804,1
P499,92704.722,100199.870,3
P500,92708.414,100191.660,3
P501,92710.215,100182.609,6
P502,92705.655,100173.818,3
P503,92707.429,100164.758,2
P504,92705.360,100170.312,3
P505,92710.442,100163.115,3
P506,92706.616,100161.245,6
P507,92702.240,100160.249,6
P508,92705.849,100166.058,2
P509,92701.056,100167.493,3
P510,92698.636,100164.529,3
P511,92706.123,100160.947,4
P512,92707.018,100158.274,2
P513,92707.998,100155.671,3
P514,92707.254,100152.390,3
P515,92703.942,100149.996,3
P516,92699.613,100153.119,3
P517,92701.148,100153.174,1
P518,92702.670,100153.246,2
P519,92703.227,100150.347,2
P520,92703.965,100147.560,2
P521,92703.963,100153.843,2
P522,92705.211,100154.194,2
P523,92700.437,100155.800,1
P524,92701.623,100153.393,2
P525,92702.504,100153.924,3
P526,92703.673,100154.329,5
P527,92710.290,100148.932,3
P528,92711.977,100147.321,6
P529,92709.727,100144.285,1
P530,92711.087,100144.542,3
P531,92707.785,100142.140,5
P532,92704.615,100139.631,2
P533,92705.875,100130.428,2
P534,92708.793,100136.494,2
P535,92710.379,100136.469,3
P536,92715.279,100141.541,6
P537,92717.029,100140.127,6
P538,92713.757,100130.926,3
P539,92720.729,100133.642,1
P540,92727.438,100136.797,2
P541,92726.791,100142.941,2
P542,92723.256,100133.807,1
P543,92724.798,100133.850,1
P544,92728.265,100139.720,6
P545,92734.979,100134.481,5
P546,92735.760,100131.723,2
P547,92743.582,100131.948,1
P548,92746.693,100137.951,6
P549,92746.987,100134.920,1
P550,92748.647,100133.238,2
P551,92750.260,100133.168,3
P552,92751.675,100131.040,2
P553,92753.486,100130.314,1
P554,92755.190,100130.052,6
P555,92756.649,100127.990,2
P556,92754.602,100124.879,3
P557,92752.680,100121.730,3
P558,92755.297,100127.882,3
P559,92756.576,100128.209,3
P560,92756.657,100125.094,3
P561,92754.538,100122.008,3
P562,92753.430,100112.532,1
P563,92755.248,100111.556,6
P564,92762.286,100106.900,2
P565,92765.807,100098.591,1
P566,92762.813,100089.325,3
P567,92766.030,100095.291,6
P568,92770.154,100100.850,4
P569,92765.646,100103.543,5
P570,92767.245,100103.497,2
P571,92762.578,100103.305,1
P572,92770.472,100101.710,3
P573,92772.794,100092.840,1
P574,92774.611,100092.044,7
P575,92769.925,100094.138,6
P576,92765.375,100096.710,3
P577,92764.516,100102.793,6
P578,92770.829,100106.503,2
P579,92773.399,100112.667,3
P580,92779.441,100116.701,3
P581,92787.199,100117.278,6
P582,92786.569,100123.427,1
P583,92794.173,100120.216,1
P584,92789.751,100123.128,2
P585,92790.940,100120.724,3
P586,92786.472,100119.934,3
P587,92784.380,100125.475,3
P588,92786.087,100116.395,1
P589,92787.660,100114.528,2
P590,92788.801,100112.074,3
P591,92796.369,100108.743,2
P592,92800.820,100101.035,2
P593,92802.606,100099.775,3
P594,92797.808,100101.160,3
P595,92794.249,100098.995,3
P596,92790.901,100103.544,1
P597,92797.315,100107.124,1
P598,92793.914,100097.955,1
P599,92790.325,100095.821,1
P600,92792.132,100094.710,6
P601,92793.945,100093.971,2
P602,92801.839,100093.580,6
P603,92803.641,100092.943,6
P604,92802.506,100089.659,2
P605,92809.569,100085.054,4
P606,92816.151,100079.604,3
P607,92823.825,100080.545,2
P608,92820.730,100085.344,2
P609,92821.268,100091.689,2
P610,92822.819,100089.780,1
P611,92818.596,100088.489,1
P612,92818.349,100085.280,3
P613,92826.248,100083.754,3
P614,92833.901,100080.725,3
P615,92841.638,100078.047,5
P616,92841.674,100074.917,2
P617,92849.138,100076.546,2
P618,92849.753,100082.896,4
P619,92851.465,100082.611,3
P620,92846.651,100083.551,6
P621,92846.204,100074.089,6
P622,92845.360,100080.177,1
P623,92843.785,100085.985,3
P624,92838.400,100077.566,1
P625,92839.416,100068.306,4
P626,92840.388,100074.667,3
P627,92839.030,100071.402,3
P628,92838.653,100077.613,3
P629,92846.543,100075.976,6
P630,92854.452,100075.334,3
P631,92850.310,100078.815,3
P632,92849.707,100084.972,1
P633,92845.629,100088.563,3
P634,92846.896,100088.899,1
P635,92848.566,100087.245,5
P636,92855.959,100089.062,2
P637,92857.768,100088.360,1
P638,92855.684,100093.905,3
P639,92860.602,100086.566,1
P640,92856.127,100085.793,3
P641,92863.955,100083.612,1
P642,92870.828,100086.502,1
P643,92878.616,100086.926,3
P644,92878.985,100077.548,1
P645,92877.829,100083.530,1
P646,92877.173,100080.256,3
P647,92878.124,100077.628,3
P648,92879.943,100076.791,3
P649,92875.394,100079.368,2
P650,92881.859,100082.879,6
P651,92882.918,100089.240,3
P652,92883.519,100086.367,1
P653,92883.295,100076.921,1
P654,92879.618,100081.092,3
P655,92879.458,100077.904,1
P656,92874.701,100079.630,2
P657,92880.173,100084.239,4
P658,92875.655,100083.574,3
P659,92876.933,100083.902,2
P660,92884.802,100083.775,2
P661,92889.969,100088.642,3
P662,92886.506,100079.489,2
P663,92887.573,100070.240,2
P664,92885.399,100067.175,1
P665,92880.599,100068.529,4
P666,92888.020,100070.274,3
P667,92883.304,100072.231,2
P668,92880.959,100062.850,2
P669,92888.844,100062.559,2
P670,92896.661,100060.305,2
P671,92897.721,100060.770,2
P672,92897.414,100066.996,3
P673,92901.820,100059.254,1
P674,92904.954,100065.249,3
P675,92908.582,100057.001,1
P676,92913.041,100062.367,4
P677,92911.328,100059.163,3
P678,92910.646,100065.298,2
P679,92913.647,100056.720,1
P680,92915.220,100063.054,1
P681,92916.951,100061.572,6
P682,92918.311,100067.922,2
P683,92919.724,100074.269,2
P684,92919.565,100071.081,6
P685,92927.177,100067.901,6
P686,92928.783,100058.791,3
P687,92936.700,100057.899,2
P688,92941.932,100050.840,7
P689,92943.292,100051.096,5
P690,92944.395,100051.540,1
P691,92951.704,100053.563,1
P692,92959.609,100052.993,3
P693,92967.104,100049.433,1
P694,92968.158,100055.793,2
P695,92968.732,100052.904,1
P696,92967.054,100049.693,3
P697,92974.385,100045.688,2
P698,92969.991,100044.729,2
P699,92966.933,100049.562,3
P700,92966.971,100046.433,7
P701,92967.473,100043.503,2
P702,92967.222,100040.294,3
P703,92962.569,100040.049,3
P704,92970.484,100038.901,3
P705,92968.548,100029.470,6
P706,92970.138,100027.638,2
P707,92971.676,100025.706,1
P708,92972.486,100016.403,5
P709,92971.511,100022.448,2
P710,92970.784,100019.168,5
P711,92972.599,100025.475,2
P712,92979.991,100021.626,6
P713,92977.704,100018.605,5
P714,92975.994,100015.401,5
P715,92978.568,100006.632,2
P716,92979.997,99997.472,2
P717,92975.182,99998.404,6
P718,92976.087,99998.928,3
P719,92977.164,99999.385,2
P720,92978.967,99998.236,6
P721,92983.266,99990.418,5
P722,92980.527,99987.619,3
P723,92976.727,99991.630,3
P724,92982.893,99985.593,2
P725,92982.710,99982.400,2
P726,92981.013,99972.949,2
P727,92980.074,99969.660,6
P728,92987.922,99969.707,2
P729,92988.686,99966.938,1
P730,92994.589,99960.579,1
P731,92996.311,99966.898,1
P732,92997.011,99973.253,1
P733,92999.698,99979.386,1
P734,93004.303,99971.794,2
P735,92999.826,99974.568,2
P736,92995.050,99976.159,1
P737,92991.078,99979.920,3
P738,92991.696,99977.057,2
P739,92990.354,99982.967,3
P740,92992.065,99973.888,2
P741,92993.342,99971.582,5
P742,92991.982,99968.318,1
P743,92990.836,99974.303,6
P744,92986.038,99974.895,3
P745,92990.740,99980.104,4
P746,92997.496,99983.186,2
P747,92994.947,99988.429,7
P748,93000.096,99993.311,3
P749,93001.508,99993.516,1
P750,93007.821,99987.675,3
P751,93005.611,99993.144,6
P752,93008.872,99999.094,2
P753,93004.739,99990.145,1
P754,93007.953,99981.671,3
P755,93009.509,99988.007,3
P756,93010.909,99978.840,3
P757,93012.353,99976.757,2
P758,93019.280,99971.888,5
P759,93021.539,99978.122,3
P760,93020.246,99974.850,3
P761,93022.064,99974.043,1
P762,93023.910,99965.006,3
P763,93019.837,99963.472,2
P764,93020.843,99960.892,2
P765,93026.763,99954.553,3
P766,93023.301,99952.294,5
P767,93031.101,99949.943,3
P768,93027.152,99948.232,6
P769,93022.514,99947.933,3
P770,93026.543,99953.542,3
P771,93028.815,99944.653,2
P772,93034.149,99937.690,2
P773,93041.497,99939.621,2
P774,93040.787,99945.747,2
P775,93037.635,99950.493,2
P776,93045.362,99947.768,2
P777,93043.248,99953.295,6
P778,93038.807,99952.440,6
P779,93040.222,99952.642,3
P780,93048.055,99950.503,3
P781,93049.133,99947.987,2
P782,93047.493,99953.766,3
P783,93048.124,99950.910,1
P784,93049.860,99949.447,1
P785,93045.079,99949.868,5
P786,93042.174,99940.584,1
P787,93048.698,99935.044,6
P788,93044.563,99938.539,3
P789,93043.206,99944.443,3
P790,93046.615,99936.072,3
P791,93042.035,99938.552,6
P792,93041.952,99929.119,3
P793,93037.337,99928.740,2
P794,93033.682,99932.939,2
P795,93035.025,99933.212,3
P796,93042.644,99930.058,3
P797,93044.386,99929.686,3
P798,93039.824,99929.144,1
P799,93047.373,99925.753,3
P800,93048.348,99916.484,3
P801,93050.026,99916.283,7
P802,93051.136,99916.722,1
P803,93049.850,99913.449,5
P804,93050.824,99910.841,5
P805,93051.427,99907.969,2
P806,93058.614,99903.625,4
P807,93059.918,99903.932,4
P808,93060.715,99901.185,6
P809,93056.099,99900.809,3
P810,93051.486,99903.182,6
P811,93053.226,99902.816,4
P812,93048.437,99903.307,2
P813,93043.629,99904.036,1
P814,93045.305,99903.838,3
P815,93040.944,99906.891,2
P816,93036.193,99907.095,3
P817,93032.933,99911.735,2
P818,93037.894,99904.433,2
P819,93039.695,99903.269,2
P820,93041.502,99902.590,2
P821,93037.112,99901.621,3
P822,93038.125,99907.982,3
P823,93036.080,99904.871,2
P824,93032.756,99902.488,1
P825,93034.396,99902.367,2
P826,93041.026,99896.992,2
P827,93041.304,99903.313,7
P828,93043.012,99901.760,2
P829,93038.960,99900.195,2
P830,93034.554,99903.145,2
P831,93036.143,99901.309,3
P832,93041.411,99906.094,3
P833,93038.152,99903.656,2
P834,93036.654,99900.411,1
P835,93035.885,99906.521,3
P836,93033.648,99903.480,2
P837,93035.315,99903.304,2
P838,93037.132,99902.302,3
P839,93032.456,99902.141,2
P840,93040.219,99899.586,6
P841,93035.439,99901.144,2
P842,93031.147,99904.344,2
P843,93038.427,99906.434,2
P844,93040.753,99912.654,2
P845,93042.521,99912.188,3
P846,93044.321,99911.565,2
P847,93044.621,99902.177,2
P848,93046.278,99900.488,1
P849,93047.331,99900.957,2
P850,93043.110,99899.663,6
P851,93040.986,99905.184,2
P852,93041.400,99895.813,1
P853,93042.382,99893.211,3
P854,93041.705,99889.935,1
P855,93037.085,99889.573,1
P856,93043.509,99893.138,2
P857,93041.163,99898.521,3
P858,93037.938,99903.195,3
P859,93039.750,99902.463,6
P860,93036.318,99900.175,5
P861,93033.827,99897.244,6
P862,93035.642,99896.481,5
P863,93036.522,99893.796,1
P864,93040.674,99899.339,5
P865,93048.491,99899.597,3
P866,93047.792,99905.727,4
P867,93046.964,99902.441,2
P868,93054.822,99900.480,6
P869,93062.631,99898.180,2
P870,93064.448,99897.380,6
P871,93069.246,99902.523,3
P872,93064.732,99905.199,2
P873,93060.386,99904.138,2
P874,93061.258,99901.447,3
P875,93068.295,99896.791,2
P876,93063.483,99897.620,3
P877,93058.788,99897.543,1
P878,93059.610,99903.902,3
P879,93056.640,99908.813,3
P880,93064.495,99906.834,1
P881,93072.229,99907.529,7
P882,93073.392,99907.938,5
P883,93068.745,99910.190,7
P884,93068.791,99907.063,3
P885,93070.557,99906.609,3
P886,93078.368,99904.325,3
P887,93074.221,99902.907,1
P888,93075.154,99900.265,1
P889,93082.475,99896.233,1
P890,93090.391,99895.234,2
P891,93098.155,99892.689,5
P892,93103.637,99897.288,3
P893,93102.655,99887.811,7
P894,93103.214,99884.913,3
P895,93104.695,99885.038,3
P896,93105.882,99885.432,3
P897,93107.637,99885.014,2
P898,93113.519,99889.222,1
P899,93109.455,99892.837,1
P900,93109.165,99899.067,3
P901,93116.883,99899.831,4
P902,93118.448,99890.710,2
P903,93119.953,99890.805,2
P904,93121.636,99890.592,3
P905,93116.830,99891.296,1
P906,93118.465,99891.184,3
P907,93114.328,99889.750,2
P908,93121.659,99891.720,2
P909,93118.535,99896.492,2
P910,93115.537,99901.378,1
P911,93122.369,99896.339,5
P912,93117.853,99895.670,3
P913,93117.714,99901.930,3
P914,93123.669,99906.061,3
P915,93125.450,99905.538,6
P916,93121.438,99909.237,3
P917,93125.244,99914.956,3
P918,93127.382,99921.214,2
P919,93130.629,99927.168,1
P920,93137.040,99921.464,3
P921,93136.847,99918.268,2
P922,93141.204,99923.695,2
P923,93143.003,99922.515,3
P924,93139.648,99920.157,6
P925,93138.135,99910.694,1
P926,93138.687,99901.345,6
P927,93145.563,99904.230,6
P928,93145.267,99901.010,2
P929,93140.872,99900.052,3
P930,93141.848,99897.445,7
P931,93143.045,99897.833,7
